N1,N2,T_split,MigRate,Fst,dxy,segsites1,segsites2,pi1,pi2,tajima1,tajima2
150000,5000,8872,0,0.3721381279726803,0.10386799999999775,0.3905,0.0002,0.09502424489795654,3.142857142857143e-05,0.3297032671436304,-0.5283099401293805
150000,5000,6387,0,0.09667231331647419,0.10039695999999874,0.417,0.1931,0.09867959183673221,0.0667141224489788,0.21976644131435236,2.0047602911067925
150000,5000,8339,0,0.3149203356091025,0.10829319999999831,0.4105,0.1156,0.10488073469387511,0.007961795918367412,0.5292458162461483,-2.529124611584306
150000,5000,8131,0,0.07975596275163055,0.09472503999999898,0.3885,0.1706,0.09253036734693663,0.06893232653061233,0.2448959791670665,2.9646692797180068
150000,5000,3906,0,0.12035803383434462,0.10167919999999801,0.4276,0.2171,0.10350481632652778,0.05616073469387736,0.3087142806219402,0.5812194033996906
150000,5000,7671,0,0.27156869455148636,0.1037067199999983,0.4337,0.1338,0.10358187755101726,0.01523706122448978,0.2557452069574533,-1.7924980260254466
150000,5000,9192,0,0.09243075522883781,0.10688911999999845,0.4042,0.1893,0.10262253061224241,0.07498008163265293,0.5028996046012161,2.8345627644933447
150000,5000,4949,0,0.13009481491739971,0.09419039999999886,0.3742,0.1475,0.09094555102040616,0.05406302040816379,0.32476754739849706,2.348605194177271
150000,5000,9070,0,0.22095130425390075,0.10146327999999855,0.4029,0.1487,0.1009764081632628,0.028504326530612464,0.4492791809635532,-0.517410608586167
150000,5000,7007,0,0.20658546091054453,0.09834431999999854,0.3971,0.0806,0.09662799999999762,0.03270857142857142,0.3296131892470031,2.9871746745947076
150000,5000,9332,0,0.16394115936210518,0.09890183999999884,0.3865,0.0878,0.09747355102040611,0.044608816326531596,0.475058816488861,4.661938379251193
150000,5000,7248,0,0.10518022098906221,0.09957895999999783,0.4193,0.1415,0.09864302040816024,0.06260710204081711,0.1970273711934798,3.592842102561138
150000,5000,8434,0,0.2114595423517419,0.09675959999999867,0.3843,0.1379,0.09611787755101808,0.02984400000000016,0.4408507166982084,-0.11204380612935569
